;Gasto total (millones de euros);Gasto por persona y día (euros)
   ESPAÑA (Otras CCAA);129,71;77,12
   EXTRANJERO;121,62;128,97
   (110) Francia;18,1;169,62
   (115) Italia;12,15;123,88
   (125) Reino Unido;23,53;111,18
   (126) Alemania;29,91;101,35
   (132) Suiza;3,69;144,08
   Bélgica, Luxemburgo y Países Bajos;14,33;191,93
   Países nórdicos;6,04;188,11
   Resto del mundo;13,86;140
2020M08;;
   TOTAL;840,04;117,99
   ESPAÑA (Otras CCAA);309,97;86,56
   EXTRANJERO;530,07;149,8
   (110) Francia;81,59;160,73
   (115) Italia;51,85;151,55
   (125) Reino Unido;64,17;113,97
   (126) Alemania;154,15;138,23
   (132) Suiza;20,83;152,99
   Bélgica, Luxemburgo y Países Bajos;57,98;194,18
   Países nórdicos;18,09;167,18
   Resto del mundo;81,4;174,07
2020M07;;
   TOTAL;799,95;125,96
   ESPAÑA (Otras CCAA);160,46;85,97
   EXTRANJERO;639,49;142,6
   (110) Francia;49,1;141,3
   (115) Italia;34,49;139,77
   (125) Reino Unido;102,89;138,44
   (126) Alemania;254,64;130,6
   (132) Suiza;32,67;150,96
   Bélgica, Luxemburgo y Países Bajos;75,19;162,75
   Países nórdicos;24,79;145,09
   Resto del mundo;65,72;188,91
2020M06;;
   TOTAL;55,41;89,52
   ESPAÑA (Otras CCAA);27,76;69,97
   EXTRANJERO;27,65;124,41
   (110) Francia;1,19;188,63
   (115) Italia;1,76;130,04
   (125) Reino Unido;...;...
   (126) Alemania;18,97;125,72
   (132) Suiza;1,39;134,82
   Bélgica, Luxemburgo y Países Bajos;2,34;77,1
   Países nórdicos;...;...
   Resto del mundo;...;...
2020M05;;
   TOTAL;...;...
   ESPAÑA (Otras CCAA);...;...
   EXTRANJERO;...;...
   (110) Francia;...;...
   (115) Italia;...;...
   (125) Reino Unido;...;...
   (126) Alemania;...;...
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;...;...
   Países nórdicos;...;...
   Resto del mundo;...;...
2020M04;;
   TOTAL;...;...
   ESPAÑA (Otras CCAA);...;...
   EXTRANJERO;...;...
   (110) Francia;...;...
   (115) Italia;...;...
   (125) Reino Unido;...;...
   (126) Alemania;...;...
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;...;...
   Países nórdicos;...;...
   Resto del mundo;...;...
2020M03;;
   TOTAL;130,78;137,12
   ESPAÑA (Otras CCAA);26,01;87,76
   EXTRANJERO;104,77;159,37
   (110) Francia;4,04;104,5
   (115) Italia;...;...
   (125) Reino Unido;11,46;155,92
   (126) Alemania;59,15;157,2
   (132) Suiza;...;...
   Bélgica, Luxemburgo y Países Bajos;4,98;187,88
   Países nórdicos;...;...
   Resto del mundo;...;...
2020M02;;
   TOTAL;228,58;125,21
   ESPAÑA (Otras CCAA);51,24;95,65
   EXTRANJERO;177,34;137,48
